P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;
0:00:00;0:55:26;400;400;19;20;20;19;0,12;4;0;0;0;0;5;32,76;;
0:00:01;0:55:27;400;400;19;20;20;19;0,12;4;0;0;0,01;0;5;32,86;;
0:00:02;0:55:28;400;400;19;20;20;19;0,12;4;0;0;0,01;0;5;33,15;;
0:00:03;0:55:29;400;400;19;20;20;19;0,12;4;7,89;0;0,01;0;5;33,18;;
0:00:04;0:55:30;400;400;19;20;20;19;0,12;4;7,89;0;0,01;0;5;33,18;;
0:00:05;0:55:31;400;400;19;20;20;19;0,12;4;7,89;0;0,01;0;5;33,21;;
0:00:06;0:55:32;400;400;19;20;20;19;0,12;4;7,89;0;0,01;0;6;33,26;;
0:00:07;0:55:33;400;400;19;20;20;19;0,12;4;1,54;0;0,01;0;6;33,28;;
0:00:08;0:55:34;400;400;19;20;20;19;0,12;4;1,54;0;0,01;0;6;33,36;;
0:00:09;0:55:35;400;400;19;20;20;19;0,12;4;1,54;0;0,01;0;6;33,41;;
0:00:10;0:55:36;400;400;19;20;20;19;0,12;4;2,87;0;0,01;0;6;33,43;;
0:00:11;0:55:37;400;400;19;20;20;19;0,12;4;2,87;0;0,01;0;6;33,46;;
0:00:12;0:55:38;400;400;19;20;20;19;0,12;4;2,87;0;0,01;0;6;33,46;;
0:00:13;0:55:39;400;400;19;20;20;19;0,12;4;2,87;0;0,01;0;6;33,48;;
0:00:14;0:55:40;400;400;19;20;20;19;0,12;4;1,05;0;0,01;0;6;33,5;;
0:00:15;0:55:41;400;400;19;20;20;19;0,12;4;1,05;0;0,01;0;6;33,51;;
0:00:16;0:55:42;400;400;19;20;20;19;0,12;4;1,05;0;0,01;0;6;33,54;;
0:00:17;0:55:43;400;400;19;20;20;19;0,12;4;1,21;0;0,01;0;6;33,57;;
0:00:18;0:55:44;400;400;19;20;20;19;0,12;4;1,21;0;0,01;0;7;33,59;;
0:00:19;0:55:45;400;400;19;20;20;19;0,12;4;1,21;0;0,01;0;7;33,65;;
0:00:20;0:55:46;400;400;19;20;20;19;0,12;4;2,74;0;0,01;0;7;33,73;;
0:00:21;0:55:47;400;400;19;20;20;19;0,12;4;2,74;0;0,01;0;7;33,78;;
0:00:22;0:55:48;400;400;19;20;20;19;0,12;4;2,74;0;0,01;0;7;33,84;;
0:00:23;0:55:49;400;400;19;20;20;19;0,12;4;3,12;0;0,01;0;7;33,88;;
0:00:24;0:55:50;400;400;19;20;20;19;0,12;4;3,12;0;0,01;0;7;33,89;;
0:00:25;0:55:51;400;400;19;20;20;19;0,12;4;3,12;0;0;0;7;33,92;;
0:00:26;0:55:52;400;400;19;20;20;19;0,12;4;3,12;0;0,01;0;7;33,93;;
0:00:27;0:55:53;400;400;19;20;20;19;0,12;4;1,47;0;0,01;0;7;33,97;;
0:00:28;0:55:54;400;400;19;20;20;19;0,12;4;1,47;0;0,01;0;7;34,02;;
0:00:29;0:55:55;400;400;19;20;20;19;0,12;4;1,47;0;0,01;0;7;34,04;;
0:00:30;0:55:56;400;400;19;20;20;19;0,12;4;2,6;0;0,01;0;8;34,11;;
0:00:31;0:55:57;400;400;19;20;20;19;0,12;4;2,6;0;0,01;0;8;34,18;;
0:00:32;0:55:58;400;400;19;20;20;19;0,12;4;2,6;0;0,01;0;8;34,2;;
0:00:33;0:55:59;400;400;19;20;20;19;0,12;4;2,6;0;0,01;0;8;34,23;;
0:00:34;0:56:00;400;400;19;20;20;19;0,12;4;2,28;0;0,01;0;8;34,25;;
0:00:35;0:56:01;400;400;19;20;20;19;0,12;4;2,28;0;0,01;0;8;34,26;;
0:00:36;0:56:02;400;400;19;20;20;19;0,12;4;2,28;0;0,01;0;8;34,29;;
0:00:37;0:56:03;400;400;19;20;20;19;0,12;4;1,19;0;0,01;0;8;34,33;;
0:00:38;0:56:04;400;400;19;20;20;19;0,12;4;1,19;0;0,01;0;8;34,36;;
0:00:39;0:56:05;400;400;19;20;20;19;0,12;4;1,19;0;0,01;0;8;34,42;;
0:00:40;0:56:06;400;400;19;20;20;19;0,12;4;1,19;0;0,01;0;8;34,45;;
0:00:41;0:56:07;400;400;19;20;20;19;0,12;4;2,79;0;0,01;0;8;34,48;;
0:00:42;0:56:08;400;400;19;20;20;19;0,12;4;2,79;0;0,01;0;9;34,49;;
0:00:43;0:56:09;400;400;19;20;20;19;0,12;4;2,79;0;0,01;0;9;34,5;;
