P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;
0:00:00;0:56:01;400;400;20;21;21;21;0,13;4;-0,01;0,01;0,01;0,0001;5;32,38;;
0:00:01;0:56:02;400;400;20;21;21;21;0,13;4;-0,01;0;0,02;0;5;32,41;;
0:00:02;0:56:03;400;400;20;21;21;21;0,13;4;-0,01;0;0,02;0;5;32,64;;
0:00:03;0:56:04;400;400;20;21;21;21;0,13;4;-0,01;0;0,01;0;5;32,64;;
0:00:04;0:56:05;400;400;20;21;21;21;0,13;4;5,11;0;0,01;0;5;32,65;;
0:00:05;0:56:06;400;400;20;21;21;21;0,13;4;5,11;0;0,01;0;5;32,65;;
0:00:06;0:56:07;400;400;20;21;21;21;0,13;4;5,11;0;0,01;0;6;32,66;;
0:00:07;0:56:08;400;400;20;21;21;21;0,13;4;0,15;0;0,02;0;6;32,66;;
0:00:08;0:56:09;400;400;20;21;21;21;0,13;4;0,15;0;0,01;0;6;32,66;;
0:00:09;0:56:10;400;400;20;21;21;21;0,13;4;0,15;0;0,01;0;6;32,66;;
0:00:10;0:56:11;400;400;20;21;21;21;0,13;4;0,15;0;0,02;0;6;32,66;;
0:00:11;0:56:12;400;400;20;21;21;21;0,13;4;0,06;0;0,01;0;6;32,66;;
0:00:12;0:56:13;400;400;20;21;21;21;0,13;4;0,06;0;0,01;0;6;32,66;;
0:00:13;0:56:14;400;400;20;21;21;21;0,13;4;0,06;0;0,01;0;6;32,66;;
0:00:14;0:56:15;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;6;32,66;;
0:00:15;0:56:16;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;6;32,67;;
0:00:16;0:56:17;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;6;32,67;;
0:00:17;0:56:18;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;6;32,67;;
0:00:18;0:56:19;400;400;20;21;21;21;0,13;4;0,05;0;0,01;0;7;32,67;;
0:00:19;0:56:20;400;400;20;21;21;21;0,13;4;0,05;0;0,01;0;7;32,67;;
0:00:20;0:56:21;400;400;20;21;21;21;0,13;4;0,05;0;0,01;0;7;32,67;;
0:00:21;0:56:22;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;7;32,67;;
0:00:22;0:56:23;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;7;32,67;;
0:00:23;0:56:24;400;400;20;21;21;21;0,13;4;0,04;0;0,02;0;7;32,67;;
0:00:24;0:56:25;400;400;20;21;21;21;0,13;4;0,07;0;0,01;0;7;32,67;;
0:00:25;0:56:26;400;400;20;21;21;21;0,13;4;0,07;0;0,01;0;7;32,68;;
0:00:26;0:56:27;400;400;20;21;21;21;0,12;4;0,07;0;0,02;0;7;32,68;;
0:00:27;0:56:28;400;400;20;21;21;21;0,12;4;0,07;0;0,02;0;7;32,68;;
0:00:28;0:56:29;400;400;20;21;21;21;0,12;4;0,21;0;0,02;0;7;32,69;;
0:00:29;0:56:30;400;400;20;21;21;21;0,12;4;0,21;0;0,01;0;7;32,7;;
0:00:30;0:56:31;400;400;20;21;21;21;0,12;4;0,21;0;0,01;0;8;32,7;;
0:00:31;0:56:32;400;400;20;21;21;21;0,12;4;0,5;0;0,01;0;8;32,72;;
0:00:32;0:56:33;400;400;20;21;21;21;0,12;4;0,5;0;0,01;0;8;32,73;;
0:00:33;0:56:34;400;400;20;21;21;21;0,12;4;0,5;0;0,01;0;8;32,73;;
0:00:34;0:56:35;400;400;20;21;21;21;0,12;4;0,64;0;0,01;0;8;32,75;;
0:00:35;0:56:36;400;400;20;21;21;21;0,12;4;0,64;0;0,01;0;8;32,75;;
0:00:36;0:56:37;400;400;20;21;21;21;0,12;4;0,64;0;0,01;0;8;32,77;;
0:00:37;0:56:38;400;400;20;21;21;21;0,12;4;0,64;0;0,02;0;8;32,78;;
0:00:38;0:56:39;400;400;20;21;21;21;0,12;4;0,76;0;0,01;0;8;32,8;;
0:00:39;0:56:40;400;400;20;21;21;21;0,12;4;0,76;0;0,01;0;8;32,83;;
0:00:40;0:56:41;400;400;20;21;21;21;0,12;4;0,76;0;0,01;0;8;32,84;;
0:00:41;0:56:42;400;400;20;21;21;21;0,12;4;1,38;0;0,02;0;8;32,88;;
0:00:42;0:56:43;400;400;20;21;21;21;0,12;4;1,38;0;0,01;0;9;32,92;;
0:00:43;0:56:44;400;400;20;21;21;21;0,12;4;1,38;0;0,02;0;9;32,94;;
0:00:44;0:56:45;400;400;20;21;21;21;0,12;4;2,12;0;0,01;0;9;32,98;;
0:00:45;0:56:46;400;400;20;21;21;21;0,12;4;2,12;0;0,01;0;9;33,04;;
0:00:46;0:56:47;400;400;20;21;21;21;0,12;4;2,12;0;0,01;0;9;33,06;;
0:00:47;0:56:48;400;400;20;21;21;21;0,12;4;2,12;0;0,01;0;9;33,12;;
0:00:48;0:56:49;400;400;20;21;21;21;0,12;4;2,65;0;0,01;0;9;33,17;;
0:00:49;0:56:50;400;400;20;21;21;21;0,12;4;2,65;0;0,01;0;9;33,2;;
0:00:50;0:56:51;400;400;20;21;21;21;0,12;4;2,65;0;0,01;0;9;33,25;;
0:00:51;0:56:52;400;400;20;21;21;21;0,12;4;2,58;0;0,02;0;9;33,3;;
0:00:52;0:56:53;400;400;20;21;21;21;0,12;4;2,58;0;0,01;0;9;33,32;;
0:00:53;0:56:54;400;400;20;21;21;21;0,12;4;2,58;0;0,01;0;9;33,37;;
0:00:54;0:56:55;400;400;20;21;21;21;0,12;4;2,58;0;0,01;0;10;33,39;;
0:00:55;0:56:56;400;400;20;21;21;21;0,12;4;2,34;0;0,01;0;10;33,44;;
0:00:56;0:56:57;400;400;20;21;21;21;0,12;4;2,34;0;0,01;0;10;33,48;;
0:00:57;0:56:58;400;400;20;21;21;21;0,12;4;2,34;0;0,01;0;10;33,5;;
0:00:58;0:56:59;400;400;20;21;21;21;0,12;4;2,03;0;0,01;0;10;33,53;;
0:00:59;0:57:00;400;400;20;21;21;21;0,12;4;2,03;0;0,01;0;10;33,56;;
