P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;
0:00:00;0:56:45;400;400;20;22;21;20;0,12;4;0;0;0,02;0;5;34,34;;
0:00:01;0:56:46;400;400;20;22;21;20;0,12;4;0;0,01;0,03;0,0003;5;34,34;;
0:00:02;0:56:47;400;400;20;22;21;20;0,12;4;0;0,01;0,03;0,0003;5;34,33;;
0:00:03;0:56:48;400;400;20;22;21;20;0,12;4;0;0,01;0,03;0,0003;5;34,47;;
0:00:04;0:56:49;400;400;20;22;21;20;0,12;4;5,04;0;0,02;0;6;34,61;;
0:00:05;0:56:50;400;400;20;22;21;20;0,12;4;5,04;0;0,02;0;6;34,61;;
0:00:06;0:56:51;400;400;20;22;21;20;0,12;4;5,04;0;0,02;0;6;34,61;;
0:00:07;0:56:52;400;400;20;22;21;20;0,12;4;5,04;0;0,02;0;6;34,61;;
0:00:08;0:56:53;400;400;20;22;21;20;0,12;4;0,13;0;0,02;0;6;34,61;;
0:00:09;0:56:54;400;400;20;22;21;20;0,12;4;0,13;0;0,02;0;6;34,62;;
0:00:10;0:56:55;400;400;20;22;21;20;0,12;4;0,13;0;0,03;0;7;34,62;;
0:00:11;0:56:56;400;400;20;22;21;20;0,12;4;0,12;0;0,02;0;7;34,62;;
0:00:12;0:56:57;400;400;20;22;21;20;0,12;4;0,12;0;0,02;0;7;34,63;;
0:00:13;0:56:58;400;400;20;22;21;20;0,12;4;0,12;0;0,02;0;7;34,64;;
0:00:14;0:56:59;400;400;20;22;21;20;0,12;4;0,41;0;0,02;0;7;34,65;;
0:00:15;0:57:00;400;400;20;22;21;20;0,12;4;0,41;0;0,02;0;8;34,66;;
0:00:16;0:57:01;400;400;20;22;21;20;0,12;4;0,41;0;0,02;0;8;34,68;;
0:00:17;0:57:02;400;400;20;22;21;20;0,12;4;0,41;0;0,02;0;8;34,69;;
0:00:18;0:57:03;400;400;20;22;21;20;0,12;4;1;0;0,02;0;8;34,71;;
0:00:19;0:57:04;400;400;20;22;21;20;0,12;4;1;0,01;0,02;0,0002;8;34,74;;
0:00:20;0:57:05;400;400;20;22;21;20;0,12;4;1;0,01;0,02;0,0002;8;34,75;;
0:00:21;0:57:06;400;400;20;22;21;20;0,12;4;1,06;0;0,02;0;9;34,77;;
0:00:22;0:57:07;400;400;20;22;21;20;0,12;4;1,06;0;0,02;0;9;34,79;;
0:00:23;0:57:08;400;400;20;22;21;20;0,12;4;1,06;0;0,03;0;9;34,8;;
0:00:24;0:57:09;400;400;20;22;21;20;0,12;4;0,9;0;0,02;0;9;34,81;;
0:00:25;0:57:10;400;400;20;22;21;20;0,12;4;0,9;0;0,02;0;9;34,83;;
0:00:26;0:57:11;400;400;20;22;21;20;0,12;4;0,9;0;0,03;0;10;34,83;;
0:00:27;0:57:12;400;400;20;22;21;20;0,12;4;0,9;0;0,02;0;10;34,85;;
0:00:28;0:57:13;400;400;20;22;21;20;0,12;4;0,66;0;0,02;0;10;34,86;;
0:00:29;0:57:14;400;400;20;22;21;20;0,12;4;0,66;0;0,02;0;10;34,87;;
0:00:30;0:57:15;400;400;20;22;21;20;0,12;4;0,66;0;0,03;0;10;34,88;;
0:00:31;0:57:16;400;400;20;22;21;20;0,12;4;0,54;0;0,03;0;10;34,88;;
0:00:32;0:57:17;400;400;20;22;21;20;0,12;4;0,54;0;0,02;0;11;34,89;;
0:00:33;0:57:18;400;400;20;22;21;20;0,12;4;0,54;0;0,03;0;11;34,91;;
0:00:34;0:57:19;400;400;20;22;21;20;0,12;4;0,54;0;0,03;0;11;34,91;;
0:00:35;0:57:20;400;400;20;22;21;20;0,12;4;0,64;0;0,02;0;11;34,93;;
0:00:36;0:57:21;400;400;20;22;21;20;0,11;4;0,64;0;0,03;0;11;34,94;;
0:00:37;0:57:22;400;400;20;22;21;20;0,11;4;0,64;0;0,03;0;12;34,95;;
0:00:38;0:57:23;400;400;20;22;21;20;0,11;4;0,62;0;0,02;0;12;34,96;;
0:00:39;0:57:24;400;400;20;22;21;20;0,11;4;0,62;0;0,02;0;12;34,97;;
0:00:40;0:57:25;400;400;20;22;21;20;0,11;4;0,62;0;0,02;0;12;34,98;;
0:00:41;0:57:26;400;400;20;22;21;20;0,11;4;0,72;0;0,02;0;12;34,99;;
0:00:42;0:57:27;400;400;20;22;21;20;0,11;4;0,72;0;0,02;0;13;35,01;;
0:00:43;0:57:28;400;400;20;22;21;20;0,11;4;0,72;0;0,02;0;13;35,02;;
0:00:44;0:57:29;400;400;20;22;21;20;0,11;4;0,73;0;0,02;0;13;35,03;;
0:00:45;0:57:30;400;400;20;21;21;20;0,11;4;0,73;0;0,02;0;13;35,04;;
0:00:46;0:57:31;400;400;20;22;21;20;0,11;4;0,73;0;0,03;0;13;35,06;;
0:00:47;0:57:32;400;400;20;22;21;20;0,11;4;0,73;0;0,02;0;13;35,08;;
0:00:48;0:57:33;400;400;20;22;21;20;0,11;4;0,87;0;0,02;0;14;35,08;;
0:00:49;0:57:34;400;400;20;22;21;20;0,11;4;0,87;0;0,02;0;14;35,1;;
0:00:50;0:57:35;400;400;21;22;21;21;0,11;4;0,87;0;0,02;0;14;35,11;;
0:00:51;0:57:36;400;400;21;22;21;21;0,11;4;0,73;0;0,02;0;14;35,12;;
0:00:52;0:57:37;400;400;21;22;21;21;0,11;4;0,73;0;0,03;0;14;35,14;;
0:00:53;0:57:38;400;400;21;22;21;21;0,11;4;0,73;0;0,03;0;15;35,16;;
0:00:54;0:57:39;400;400;21;22;21;21;0,11;4;0,73;0;0,03;0;15;35,16;;
0:00:55;0:57:40;400;400;21;22;21;21;0,11;4;0,84;0;0,02;0;15;35,18;;
0:00:56;0:57:41;400;400;21;22;21;21;0,11;4;0,84;0;0,02;0;15;35,19;;
0:00:57;0:57:42;400;400;21;22;21;21;0,11;4;0,84;0;0,02;0;15;35,2;;
0:00:58;0:57:43;400;400;21;22;21;21;0,11;4;0,76;0;0,02;0;15;35,22;;
0:00:59;0:57:44;400;400;21;22;21;21;0,11;4;0,76;0;0,02;0;16;35,23;;
0:01:00;0:57:45;400;400;21;22;21;21;0,11;4;0,76;0;0,02;0;16;35,25;;
0:01:01;0:57:46;400;400;21;22;21;21;0,11;4;0,87;0;0,03;0;16;35,26;;
0:01:02;0:57:47;400;400;21;22;21;21;0,11;4;0,87;0;0,02;0;16;35,27;;
0:01:03;0:57:48;400;400;21;22;21;21;0,11;4;0,87;0;0,03;0;16;35,28;;
0:01:04;0:57:49;400;400;21;22;21;21;0,11;4;0,45;0;0,02;0;16;35,28;;
0:01:05;0:57:50;400;400;21;22;21;21;0,11;4;0,45;0;0,02;0;16;35,29;;
0:01:06;0:57:51;400;400;21;22;21;21;0,11;4;0,45;0;0,03;0;16;35,29;;
0:01:07;0:57:52;400;400;21;22;21;21;0,11;4;0,45;0;0,03;0;16;35,29;;
0:01:08;0:57:53;400;400;21;22;21;21;0,11;4;0,17;0;0,02;0;16;35,29;;
0:01:09;0:57:54;400;400;21;22;21;21;0,11;4;0,17;0;0,03;0;16;35,3;;
0:01:10;0:57:55;400;400;21;22;21;21;0,11;4;0,17;0;0,03;0;16;35,3;;
0:01:11;0:57:56;400;400;21;22;21;21;0,11;4;0,12;0;0,03;0;16;35,3;;
