P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;;;
0:00:00;0:54:35;400;400;22;23;23;22;0,14;4;0;0;0,04;;5;33,25;;;;
0:00:01;0:54:36;400;400;22;23;23;22;0,14;4;0;0;0,04;;5;33,25;;;;
0:00:02;0:54:37;400;400;22;23;23;22;0,14;4;0;0;0,04;;5;33,39;;;;
0:00:03;0:54:38;400;400;22;23;23;22;0,14;4;5,89;0;0,04;;5;33,56;;;;
0:00:04;0:54:39;400;400;22;23;23;22;0,13;4;5,89;0;0,04;;5;33,56;;;;
0:00:05;0:54:40;400;400;22;23;23;22;0,13;4;5,89;0;0,04;;5;33,56;;;;
0:00:06;0:54:41;400;400;22;23;22;22;0,13;4;0,09;0;0,04;;6;33,57;;;;
0:00:07;0:54:42;400;400;22;23;22;22;0,13;4;0,09;0;0,04;;6;33,57;;;;
0:00:08;0:54:43;400;400;22;23;22;22;0,13;4;0,09;0;0,04;;6;33,57;;;;
0:00:09;0:54:44;400;400;22;23;22;22;0,13;4;0,09;0;0,04;;6;33,57;;;;
0:00:10;0:54:45;400;400;22;23;23;22;0,13;4;0,14;0;0,04;;6;33,57;;;;
0:00:11;0:54:46;400;400;22;23;23;22;0,13;4;0,14;0;0,04;;6;33,57;;;;
0:00:12;0:54:47;400;400;22;23;23;22;0,13;4;0,14;0;0,04;;6;33,57;;;;
0:00:13;0:54:48;400;400;22;23;23;22;0,13;4;0,08;0;0,04;;6;33,58;;;;
0:00:14;0:54:49;400;400;22;23;23;22;0,13;4;0,08;0;0,04;;6;33,59;;;;
0:00:15;0:54:50;400;400;22;23;23;22;0,13;4;0,08;0;0,04;;6;33,59;;;;
0:00:16;0:54:51;400;400;22;23;23;22;0,13;4;0,23;0;0,04;;6;33,59;;;;
0:00:17;0:54:52;400;400;22;23;23;22;0,13;4;0,23;0;0,04;;6;33,59;;;;
0:00:18;0:54:53;400;400;22;23;23;22;0,13;4;0,23;0;0,04;;6;33,6;;;;
0:00:19;0:54:54;400;400;22;23;23;22;0,13;4;0,23;0;0,04;;7;33,61;;;;
0:00:20;0:54:55;400;400;22;23;23;22;0,13;4;0,48;0;0,04;;7;33,62;;;;
