P.Zeit;;Pyrometer;Pyrometer B;MTC1;MTC2;MTC3;MTC4;Press. abs 1;Press. abs 2;Speed;U RMS;I RMS;Power;Force;Abs Piston Tra.;Rel Piston Tra.;
0:00:00;0:56:45;400;400;23;24;24;23;0,11;4;0;0;0,04;0;5;31,55;;
0:00:01;0:56:46;400;400;23;24;24;23;0,11;4;0;0;0,04;0;5;31,55;;
0:00:02;0:56:47;400;400;23;24;24;23;0,11;4;0;0;0,04;0;6;31,66;;
0:00:03;0:56:48;400;400;23;24;24;23;0,11;4;6,35;0;0,04;0;6;32,02;;
0:00:04;0:56:49;400;400;23;24;24;23;0,11;4;6,35;0;0,04;0;6;32,1;;
0:00:05;0:56:50;400;400;23;24;24;23;0,11;4;6,35;0;0,04;0;6;32,16;;
0:00:06;0:56:51;400;400;23;24;24;23;0,11;4;5,09;0;0,04;0;7;32,28;;
0:00:07;0:56:52;400;400;23;24;24;23;0,11;4;5,09;0;0,04;0;7;32,45;;
0:00:08;0:56:53;400;400;23;24;24;23;0,11;4;5,09;0;0,04;0;7;32,54;;
0:00:09;0:56:54;400;400;23;24;24;23;0,11;4;9,58;0;0,04;0;8;32,78;;
0:00:10;0:56:55;400;400;23;24;24;23;0,11;4;9,58;0;0,04;0;8;33,06;;
0:00:11;0:56:56;400;400;23;24;24;23;0,11;4;9,58;0;0,04;0;8;33,16;;
0:00:12;0:56:57;400;400;23;24;24;23;0,11;4;9,58;0;0,04;0;8;33,32;;
0:00:13;0:56:58;400;400;23;24;24;23;0,11;4;9,93;0;0,04;0;9;33,37;;
0:00:14;0:56:59;400;400;23;24;24;23;0,11;4;9,93;0;0,04;0;9;33,49;;
0:00:15;0:57:00;400;400;23;24;24;23;0,11;4;9,93;0;0,04;0;9;33,63;;
0:00:16;0:57:01;400;400;23;24;24;23;0,11;4;6,37;0;0,04;0;9;33,7;;
0:00:17;0:57:02;400;400;23;24;24;23;0,11;4;6,37;0;0,03;0;10;33,83;;
0:00:18;0:57:03;400;400;23;24;24;23;0,11;4;6,37;0;0,03;0;10;33,9;;
0:00:19;0:57:04;400;400;23;24;24;23;0,11;4;6,37;0;0,04;0;10;33,92;;
0:00:20;0:57:05;400;400;23;24;24;23;0,11;4;4,22;0;0,04;0;11;33,99;;
0:00:21;0:57:06;400;400;23;24;24;23;0,11;4;4,22;0;0,04;0;11;34,03;;
0:00:22;0:57:07;400;400;23;24;24;23;0,11;4;4,22;0;0,04;0;11;34,13;;
0:00:23;0:57:08;400;400;23;24;24;23;0,11;4;4,62;0;0,04;0;12;34,24;;
0:00:24;0:57:09;400;400;23;24;24;23;0,11;4;4,62;0;0,04;0;12;34,29;;
0:00:25;0:57:10;400;400;23;24;24;23;0,11;4;4,62;0;0,04;0;12;34,35;;
0:00:26;0:57:11;400;400;23;24;24;23;0,11;4;4,62;0;0,04;0;12;34,38;;
0:00:27;0:57:12;400;400;23;24;24;23;0,11;4;3,7;0;0,03;0;13;34,44;;
0:00:28;0:57:13;400;400;23;24;24;23;0,11;4;3,7;0;0,04;0;13;34,51;;
0:00:29;0:57:14;400;400;23;24;24;23;0,11;4;3,7;0;0,04;0;13;34,56;;
0:00:30;0:57:15;400;400;23;24;24;23;0,11;4;3,79;0;0,03;0;13;34,66;;
0:00:31;0:57:16;400;400;23;24;24;23;0,11;4;3,79;0;0,04;0;14;34,76;;
0:00:32;0:57:17;400;400;23;24;24;23;0,11;4;3,79;0;0,04;0;14;34,81;;
0:00:33;0:57:18;400;400;23;24;24;23;0,11;4;4,6;0;0,04;0;14;34,87;;
0:00:34;0:57:19;400;400;23;24;24;23;0,11;4;4,6;0;0,04;0;15;34,92;;
0:00:35;0:57:20;400;400;23;24;24;23;0,11;4;4,6;0;0,04;0;15;34,95;;
0:00:36;0:57:21;400;400;23;24;24;23;0,11;4;2,5;0;0,04;0;15;35;;
0:00:37;0:57:22;400;400;23;24;24;23;0,11;4;2,5;0;0,03;0;15;35,03;;
0:00:38;0:57:23;400;400;23;24;24;23;0,11;4;2,5;0;0,04;0;16;35,12;;
0:00:39;0:57:24;400;400;23;24;24;23;0,11;4;2,5;0;0,03;0;16;35,2;;
0:00:40;0:57:25;400;400;23;24;24;23;0,11;4;4;0;0,04;0;16;35,24;;
0:00:41;0:57:26;400;400;23;24;24;23;0,11;4;4;0;0,04;0;17;35,3;;
0:00:42;0:57:27;400;400;23;24;24;23;0,11;4;4;0;0,03;0;17;35,34;;
0:00:43;0:57:28;400;400;23;24;24;23;0,11;4;2,43;0;0,04;0;17;35,37;;
0:00:44;0:57:29;400;400;23;24;24;23;0,11;4;2,43;0;0,04;0;17;35,43;;
