Nr.;Datum;Zeit;P.Zeit;MTC1;MTC2;MTC3;MTC4;Pyrometer;AV Abs. Press. 1;AV Abs. Press. 2;AV Rel. Pressure;Thermovak;CZ_Temperature c;yPower;SV Temperature;SV Power;SV Force;SV Speed;AV Force;AV Speed;SV Rel. pressure;SV Abs. pressure;Vac. Main Valve;Put On Force;Pyro Start Temp.;I RMS;Pulse Time;Pause Time;U RMS;Heating power;Rel. Piston Trav;Abs. Piston Trav
;;;;C;C;C;C;C;mbar;mbar;mbar;mbar;%;%;C;%;kN;mm/min;kN;mm/min;hPa;hPa;hPa;kN;C;kA;ms;ms;V;kW;mm;mm
1;20.05.2008;10:12:08;00:00:00;23;24;23;23;400;13,30;1042;42;1687;100;0;20;0;5;30,000;0;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,00;38,40
2;20.05.2008;10:12:09;00:00:01;23;24;23;23;400;13,30;1042;42;1687;100;0;20;0;5;30,000;1;-0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,00;38,40
3;20.05.2008;10:12:10;00:00:02;23;24;23;23;400;13,30;1042;42;1687;100;0;20;0;5;30,000;4;1,460;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,07;38,57
4;20.05.2008;10:12:11;00:00:03;23;24;23;23;400;13,30;1042;42;1687;100;0;20;0;5;30,000;4;1,460;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,14;38,64
5;20.05.2008;10:12:12;00:00:04;23;24;23;23;400;13,30;1042;42;1687;100;0;20;0;5;30,000;5;1,460;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,14;38,64
6;20.05.2008;10:12:13;00:00:05;23;24;23;23;400;13,30;775;-999;1687;100;0;20;0;5;30,000;5;1,460;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
7;20.05.2008;10:12:14;00:00:06;23;24;23;23;400;13,30;588;-999;1687;100;0;20;0;5;30,000;5;1,980;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,15;38,65
8;20.05.2008;10:12:15;00:00:07;23;24;23;23;400;13,30;588;-999;1687;100;0;20;0;5;30,000;4;1,980;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
9;20.05.2008;10:12:16;00:00:08;23;24;23;23;400;13,30;457;-999;1468;100;0;20;0;5;30,000;5;1,980;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,15;38,65
10;20.05.2008;10:12:17;00:00:09;23;24;23;23;400;13,30;363;-999;942;100;0;20;0;5;30,000;4;0,110;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
11;20.05.2008;10:12:18;00:00:10;22;24;23;23;400;13,30;294;-999;774;100;0;20;0;5;30,000;4;0,110;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,15;38,65
12;20.05.2008;10:12:19;00:00:11;22;24;23;23;400;13,30;294;-999;653;100;0;20;0;5;30,000;5;0,110;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
13;20.05.2008;10:12:20;00:00:12;22;24;23;23;400;13,30;220;-999;471;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
14;20.05.2008;10:12:21;00:00:13;22;23;23;23;400;13,30;164;-999;324;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
15;20.05.2008;10:12:22;00:00:14;22;23;23;23;400;13,30;164;-999;203;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
16;20.05.2008;10:12:23;00:00:15;22;23;23;23;400;13,30;123;-999;139;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
17;20.05.2008;10:12:24;00:00:16;22;23;23;23;400;13,30;92;-999;115;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
18;20.05.2008;10:12:25;00:00:17;22;23;23;23;400;13,30;92;-999;94;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
19;20.05.2008;10:12:26;00:00:18;22;23;23;23;400;13,30;68;-999;73;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
20;20.05.2008;10:12:27;00:00:19;22;23;23;23;400;13,30;51;-999;55;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
21;20.05.2008;10:12:28;00:00:20;22;22;23;23;400;13,30;51;-999;41;100;0;20;0;5;30,000;4;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
22;20.05.2008;10:12:29;00:00:21;22;22;23;23;400;13,30;39;-999;31;100;0;20;0;5;30,000;4;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
23;20.05.2008;10:12:30;00:00:22;22;22;23;23;400;13,30;27;-999;23;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
24;20.05.2008;10:12:31;00:00:23;22;22;23;23;400;13,30;19;-999;18;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
25;20.05.2008;10:12:32;00:00:24;22;22;23;23;400;13,30;19;-999;13;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
26;20.05.2008;10:12:33;00:00:25;22;22;23;23;400;10,08;14;-999;13;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
27;20.05.2008;10:12:34;00:00:26;22;22;23;23;400;6,77;11;-999;7;100;0;20;0;5;30,000;5;-0,030;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
28;20.05.2008;10:12:35;00:00:27;22;22;23;23;400;6,77;11;-999;5;100;0;20;0;5;30,000;4;-0,030;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
29;20.05.2008;10:12:36;00:00:28;22;22;23;23;400;4,59;9;-999;4;100;0;20;0;5;30,000;5;-0,030;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
30;20.05.2008;10:12:37;00:00:29;22;22;23;23;400;3,04;7;-999;3;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
31;20.05.2008;10:12:38;00:00:30;22;22;23;23;400;3,04;7;-999;2;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
32;20.05.2008;10:12:39;00:00:31;22;22;23;23;400;2,16;6;-999;2;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
33;20.05.2008;10:12:40;00:00:32;22;22;23;23;400;1,58;6;-999;2;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
34;20.05.2008;10:12:41;00:00:33;22;22;23;23;400;1,58;6;-999;1;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,15;38,65
35;20.05.2008;10:12:42;00:00:34;22;22;23;23;400;1,18;5;-999;1;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
36;20.05.2008;10:12:43;00:00:35;22;22;23;23;400;0,90;5;-999;1;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
37;20.05.2008;10:12:44;00:00:36;22;22;23;23;400;0,71;5;-999;1;100;0;20;0;5;30,000;5;0,060;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
38;20.05.2008;10:12:45;00:00:37;22;22;23;23;400;0,71;5;-999;1;100;0;20;0;5;30,000;4;0,060;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
39;20.05.2008;10:12:46;00:00:38;22;22;23;23;400;0,57;5;-999;1;100;0;20;0;5;30,000;5;0,060;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
40;20.05.2008;10:12:47;00:00:39;22;22;23;23;400;0,47;5;-999;1;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
41;20.05.2008;10:12:48;00:00:40;22;22;23;23;400;0,47;5;-999;1;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
42;20.05.2008;10:12:49;00:00:41;22;22;23;23;400;0,40;5;-999;0;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
43;20.05.2008;10:12:50;00:00:42;22;22;23;23;400;0,34;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
44;20.05.2008;10:12:51;00:00:43;22;22;23;23;400;0,34;5;-999;0;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
45;20.05.2008;10:12:52;00:00:44;22;22;23;23;400;0,30;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
46;20.05.2008;10:12:53;00:00:45;22;22;23;23;400;0,27;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
47;20.05.2008;10:12:54;00:00:46;22;22;23;23;400;0,27;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
48;20.05.2008;10:12:55;00:00:47;22;22;23;23;400;0,25;5;-999;0;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
49;20.05.2008;10:12:56;00:00:48;22;22;23;23;400;0,23;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
50;20.05.2008;10:12:57;00:00:49;22;21;23;23;400;0,21;5;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
51;20.05.2008;10:12:58;00:00:50;22;21;23;23;400;0,21;5;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
52;20.05.2008;10:12:59;00:00:51;22;21;23;23;400;0,20;5;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
53;20.05.2008;10:13:00;00:00:52;22;22;23;23;400;0,19;5;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
54;20.05.2008;10:13:01;00:00:53;22;22;23;23;400;0,19;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
55;20.05.2008;10:13:02;00:00:54;22;22;23;23;400;0,18;5;-999;0;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
56;20.05.2008;10:13:03;00:00:55;22;22;23;23;400;0,17;5;-999;0;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
57;20.05.2008;10:13:04;00:00:56;22;22;23;23;400;0,17;5;-999;0;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
58;20.05.2008;10:13:05;00:00:57;22;22;23;23;400;0,17;4;-999;0;100;0;20;0;5;30,000;4;0,010;5;0,01;100;3;20;0,05;0,0;0,0;0,00;0,0;0,16;38,66
59;20.05.2008;10:13:06;00:00:58;22;22;23;23;400;0,16;4;-999;0;100;0;20;0;5;30,000;5;0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
60;20.05.2008;10:13:07;00:00:59;21;22;23;23;400;0,16;4;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
61;20.05.2008;10:13:08;00:01:00;22;22;23;23;400;0,16;4;-999;0;100;0;20;0;5;30,000;5;-0,010;5;0,01;100;3;20;0,06;0,0;0,0;0,00;0,0;0,16;38,66
