Nr.;Datum;Zeit;P.Zeit;MTC1;MTC2;MTC3;MTC4;Pyrometer;AV Abs. Press. 1;AV Abs. Press. 2;AV Rel. Pressure;Thermovak;CZ_Temperature c;yPower;SV Temperature;SV Power;SV Force;SV Speed;AV Force;AV Speed;SV Rel. pressure;SV Abs. pressure;Vac. Main Valve;Put On Force;Pyro Start Temp.;I RMS;Pulse Time;Pause Time;U RMS;Heating power;Rel. Piston Trav;Abs. Piston Trav
;;;;C;C;C;C;C;mbar;mbar;mbar;mbar;%;%;C;%;kN;mm/min;kN;mm/min;hPa;hPa;hPa;kN;C;kA;ms;ms;V;kW;mm;mm
1;05.06.2008;14:22:31;00:00:00;52;37;27;28;400;0,17;5;-999;0;100;0;20;0;5;30,000;0;0,000;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,00;34,77
2;05.06.2008;14:22:32;00:00:01;52;37;27;28;400;0,17;5;-999;0;100;0;20;0;5;30,000;1;0,000;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,00;34,77
3;05.06.2008;14:22:33;00:00:02;52;37;27;28;400;0,17;5;-999;0;100;0;20;0;5;30,000;5;0,650;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,11;35,02
4;05.06.2008;14:22:34;00:00:03;52;37;27;28;400;0,17;5;-999;0;100;0;20;0;5;30,000;4;0,650;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
5;05.06.2008;14:22:35;00:00:04;52;37;27;28;400;1,64;6;-999;2;100;0;20;0;5;30,000;5;0,650;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
6;05.06.2008;14:22:36;00:00:05;52;37;27;28;400;2,81;7;-999;3;100;0;20;0;5;30,000;4;2,680;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
7;05.06.2008;14:22:37;00:00:06;52;37;27;28;400;2,81;7;-999;3;100;0;20;0;5;30,000;4;2,680;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
8;05.06.2008;14:22:38;00:00:07;52;37;27;28;400;3,29;8;-999;3;100;0;20;0;5;30,000;4;2,680;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
9;05.06.2008;14:22:39;00:00:08;51;37;27;28;400;3,48;8;-999;4;100;0;20;0;5;30,000;5;2,680;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
10;05.06.2008;14:22:40;00:00:09;51;37;27;28;400;3,48;8;-999;4;100;0;20;0;5;30,000;4;0,040;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
11;05.06.2008;14:22:41;00:00:10;51;37;27;28;400;3,54;8;-999;4;100;0;20;0;5;30,000;4;0,040;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
12;05.06.2008;14:22:42;00:00:11;51;37;27;28;400;3,13;7;-999;3;100;0;20;0;5;30,000;5;0,040;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
13;05.06.2008;14:22:43;00:00:12;51;38;27;28;400;3,13;7;-999;2;100;0;20;0;5;30,000;5;0,000;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
14;05.06.2008;14:22:44;00:00:13;51;38;27;28;400;2,20;7;-999;2;100;0;20;0;5;30,000;4;0,000;5;0,01;100;3;20;0,03;0,0;0,0;0,00;0,0;0,09;35,00
